id,title,body,category,priority
164,Prezzi sbagliati sul portale,"I clienti vedono prezzi diversi dal listino sul portale. Nessuna premura, è solo una segnalazione.",Tecnico,bassa
165,Verifica stock server rack,Sto raccogliendo informazioni per la pianificazione del prossimo trimestre. Potreste indicarmi le giacenze attuali di monitor 27 pollici? Il reparto logistica ha confermato la disponibilità tecnica.,Commerciale,bassa
166,Modifica dati personali,"Segnalo che il mio numero di telefono nel sistema aziendale non è aggiornato. Non crea problemi operativi ma vorrei correggerlo per uniformità. È una cosa di poco conto, da risolvere con calma. Potete contattarmi al mio interno per approfondire.",Amministrazione,bassa
167,Report vendite errato,Il report generato dal portale HR non corrisponde ai dati commerciali.,Commerciale,alta
168,Bug nei prezzi visualizzati sul portale,"Ho notato che il applicativo interno mostra alcuni prezzi non aggiornati nella sezione catalogo. Per ora nessun cliente ha ordinato a prezzi errati ma la situazione va corretta. Il reparto marketing ha segnalato lo stesso problema. Sta peggiorando, meglio intervenire presto. Ringrazio per la collaborazione.",Tecnico,media
169,Backup automatico non eseguito,"Il backup notturno non è andato a buon fine l'ultima notte. I log riportano 'Servizio non disponibile'. I dati sono comunque disponibili sul server principale ma vorrei che venisse ripristinato il ciclo regolare. Rallenta il lavoro in modo significativo, anche se riesco a procedere. Per qualsiasi chiarimento, sono disponibile.",Tecnico,bassa
170,"Credenziali scadute, impossibile il reset","Mi è arrivato l'avviso che la password del piattaforma documentale scadrà tra 5 giorni. Ho provato a cambiarla in anticipo ma la procedura dà errore. Non è prioritario ma vorrei risolvere prima della scadenza. Bassa priorità, non crea problemi operativi. Ringrazio per la collaborazione.",Tecnico,bassa
171,Errore generazione report dal software gestionale,Il software gestionale genera alcune report con dati incompleti. Riesco a correggerle manualmente ma richiede tempo. Il problema sta impattando la generazione dei documenti contabili. Un saluto.,Tecnico,media
172,Email aziendale non sincronizzata,Le email non arrivano su il gestionale da stamattina. Ho verificato dal telefono e ci sono messaggi urgenti da il distributore regionale e dal reparto contabilità che necessitano risposta entro oggi. Ho già provato a disabilitare il firewall. Resto a disposizione per chiarimenti.,Tecnico,alta
173,Scadenza in arrivo,C'è una scadenza per la pratica #2025-0112. La situazione non è grave ma conviene non rimandare troppo.,Amministrazione,media
174,Aggiornamento sulla spedizione #CNT-0033,Vorrei un aggiornamento sull'ordine #CNT-0033 effettuato il mese scorso. Il cliente ha chiesto informazioni sulla data di consegna e vorrei poter dare una risposta. La situazione non è grave ma conviene non rimandare troppo. Un saluto.,Commerciale,media
175,Errore generazione report dal applicativo interno,"Il CRM non riesce a generare report da stamattina. Il reparto assistenza clienti è fermo e le scadenze sono imminenti. È un problema critico, urgente. Potete contattarmi al mio interno per approfondire.",Tecnico,alta
176,PC aziendale molto lento,"Il PC è diventato molto lento: l'avvio richiede circa 10 minuti e passare da un'applicazione all'altra è frustrante. Riesco a lavorare ma la produttività ne risente parecchio. Il problema sta impattando la generazione dei documenti contabili. Sta peggiorando, meglio intervenire presto. Se servono dettagli aggiuntivi, sono reperibile via email.",Tecnico,media
177,"Contratto #2025-0112 in scadenza, rinnovo necessario","Segnalo che il contratto #2024-1093 scadrà tra qualche mese. Quando è il momento opportuno, vorrei capire se il rinnovo avverrà alle stesse condizioni o se serve rinegoziare. Grazie per l'attenzione.",Amministrazione,bassa
178,Stampante Canon iR non funzionante,"La qualità di stampa della Brother HL è peggiorata: le pagine escono con righe orizzontali chiare. Non è prioritario ma per i documenti ufficiali la presentazione non è accettabile. Il problema è comparso dopo l'ultimo aggiornamento di sistema. Rimango in attesa, grazie.",Tecnico,bassa
179,Mancato accredito del pagamento #ORD-2287,"Chiedo conferma che il bonifico #FT-3392 del metà marzo sia stato effettivamente disposto. Il beneficiario non ha segnalato problemi ma vorrei verificare per completezza documentale. La questione è legata a obblighi normativi in scadenza. Nessuna premura, è solo una segnalazione. Rimango in attesa, grazie.",Amministrazione,media
180,Trattativa prezzo con l'azienda partner,"In considerazione del volume dell'ordine #2024-1093, il cliente principale ha chiesto condizioni più favorevoli. Sono in fase di negoziazione e un margine di sconto mi aiuterebbe a chiudere. Confidiamo in una risposta rapida per procedere con l'ordine. La situazione non è grave ma conviene non rimandare troppo.",Commerciale,media
181,Portale clienti lento,"Un cliente ha menzionato che il portale a volte è lento. Non abbiamo avuto altri reclami. Il budget del cliente è già approvato e sono pronti a procedere. È un dettaglio minore, da gestire quando avete un momento libero. Per qualsiasi chiarimento, sono disponibile.",Commerciale,bassa
182,Lentezza anomala della postazione,Ho notato un leggero calo di prestazioni del PC nelle ultime settimane. l'applicativo HR in particolare impiega qualche secondo in più per aprirsi. Per ora non è un problema ma potrebbe peggiorare. Ringrazio per la collaborazione.,Tecnico,bassa
183,Pagamento ordine #FT-3392 bloccato,L'ordine #ORD-1145 necessita di approvazione contabile prima della spedizione. Il cliente non ha ancora sollecitato. Un saluto.,Amministrazione,media
184,Email aziendale non sincronizzata,"La sincronizzazione email su Microsoft Office avviene con ritardi di diverse ore. I messaggi arrivano sul telefono in tempo reale ma sul client desktop sono in ritardo. Ho provato a contattare un collega senza risultato. Allego lo screenshot dell'errore per facilitare la diagnosi. Sta peggiorando, meglio intervenire presto. Vi ringrazio anticipatamente.",Tecnico,media
185,Errore nel caricamento ordini su gestionale SAP,Alcuni ordini non vengono caricati correttamente nel CRM. Il problema è intermittente: su dieci tentativi circa tre falliscono con 'Credenziali non valide'. Riesco a procedere riprovando ma è poco efficiente. Il problema è comparso dopo l'ultimo aggiornamento di sistema. Ringrazio per la collaborazione.,Tecnico,media
186,Errore busta paga marzo,"Il cedolino di novembre mostra una trattenuta anomala di 8.500,00 euro che non riconosco. L'importo netto accreditato è significativamente inferiore al dovuto e ho bisogno di chiarimenti immediati perché devo far fronte a pagamenti già programmati. È critico, siamo in piena emergenza. In attesa di un vostro riscontro.",Amministrazione,alta
187,Bonifico #2024-0871 non risulta accreditato,"Il bonifico #PED-8821 di 1.320,50 euro del fine settembre non risulta accreditato e il fornitore lo studio Verdi ha inviato un sollecito formale minacciando di sospendere le consegne se non riceve conferma entro entro 48 ore. Allego la documentazione a supporto della richiesta. Urgentissimo, il blocco è totale.",Amministrazione,alta
188,Nota di credito #ORD-1145 non ricevuta,"Chiedo aggiornamenti sulla nota di credito relativa a #FT-3392. Nessuna premura ma vorrei tenere allineata la documentazione contabile. Allego la documentazione a supporto della richiesta. Non è prioritario, quando avete tempo. Se servono dettagli aggiuntivi, sono reperibile via email.",Amministrazione,bassa
189,Backup automatico non eseguito,"Segnalo che il report del backup notturno di portale aziendale mostra un avviso di tipo informativo. Il backup risulta completato ma con un tempo superiore alla media. Nessun dato sembra compromesso. Non è prioritario, lo segnalo solo per tenere traccia.",Tecnico,bassa
190,Problema accesso,"Non riesco ad accedere al piattaforma intranet. Non c'è premura, il lavoro procede normalmente.",Commerciale,bassa
191,VPN aziendale non funzionante,"La VPN funziona ma la connessoine è più lenta del solito, soprattutto accedendo a CRM. Non è un problama grave perché vado in ufficio quasi tutti i giorni, ma nei giorni di smart working è percepibile. Potete contattarmi al mio interno per approfondire.",Tecnico,bassa
192,Accesso negato al portale fornitori,"Non riesco ad accedere al portale fornitori per caricare i documenti. Sta peggiorando, meglio intervenire presto.",Tecnico,media
193,Cliente lamenta problemi con il nostro servizio,"Un cliente ha menzionato di aver avuto qualche difficoltà con il nostro portale online. Non ha fatto un reclamo formale, lo riporto per conoscenza. Stiamo valutando anche offerte alternative sul mercato. Non c'è premura, il lavoro procede normalmente.",Commerciale,bassa
194,Scheda tecnica server rack richiesta,il fornitore Bianchi deve decidere entro fine trimestre e gli mancano le specifiche tecniche di server rack. Hanno provato a consultare il piattaforma documentale ma le informazioni non sono aggiornate. Se non rispondiamo oggi perdono la finestra di acquisto. Il reparto vendite è in copia per conoscenza. Un saluto.,Commerciale,alta
195,Offerta commerciale per telefoni VoIP,"Per un eventuale ordine futuro, il fornitore Bianchi ha chiesto un'indicazione di prezzo su notebook aziendali. Nessuna premura, stanno solo raccogliendo informazioni preliminari. Confidiamo in una risposta rapida per procedere con l'ordine. Ringrazio per la collaborazione.",Commerciale,bassa
196,PRESTAZIONI DEGRADATE DEL COMPUTER,"Il PC assegnatomi si blocca completamente durante l'elaborazione dei dati di fine mese. Il reparto direzione aspetta i report e io non riesco nemmeno ad aprire i file necessari. Serve una sostituzione o un intervento immediato. Allego lo screenshot dell'errore per facilitare la diagnosi. Rimango in attesa, grazie.",Tecnico,alta
197,"Contratto #PED-8821 in scadenza, rinnovo necessario","Il contratto #FT-4471 con l'azienda partner scade venerdì e non è ancora stato avviato il rinnovo. Se il contratto scade perdiamo le condizioni agevolate e il fornitore ha già comunicato che i prezzi aumenteranno. Situazione bloccante, è urgente. Grazie in anticipo per il riscontro.",Amministrazione,alta
198,"Credenziali scadute, impossibile il reset","Mi è arrivato l'avviso che la password del piattaforma documentale scadrà tra 5 giorni. Ho provato a cambiarla in anticipo ma la procedura dà errore. Non è prioritario ma vorrei risolvere prima della scadenza. Bassa priorità, non crea problemi operativi. Resto a disposizione per chiarimenti.",Tecnico,bassa
199,Segnalazione di il fornitore Bianchi su disservizio,"Un cliente ha menzionato di aver avuto qualche difficoltà con il nostro portale online. Non ha fatto un reclamo formale, lo riporto per conoscenza. Confidiamo in una risposta rapida per procedere con l'ordine. Non è prioritario, quando avete tempo. Grazie in anticipo per il riscontro.",Commerciale,media
200,Nota spese da liquidare,Devo ancora presentare la nota spese della trasferta del 7 gennaio. L'importo è modesto. Avrei bisogno del modulo aggiornato perché quello che ho sembra obsoleto. La questione è legata a obblighi normativi in scadenza. Grazie in anticipo per il riscontro.,Amministrazione,bassa
201,Pagamento ordine #PED-8821 bloccato,L'ordine #FT-3392 necessita di approvazione contabile prima della spedizione. Il cliente non ha ancora sollecitato. La situazione non è grave ma conviene non rimandare troppo. In attesa di un vostro riscontro.,Amministrazione,media
202,Stampante Epson WorkForce non funzionante,La qualità di stampa della Epson WorkForce è peggiorata: le pagine escono con righe orizzontali chiare. Non è prioritario ma per i documenti ufficiali la presentazione non è accettabile. La situazione sta creando ritardi sugli ordini in lavorazione. Resto a disposizione per chiarimenti.,Tecnico,media
203,Errore durante la generazione documenti su piattaforma documentale,Da un paio di giorni il software gestionale impiega tempi molto lunghi per generare i documenti. Riesco a completare il lavoro ma con rallentamenti evidenti. L'errore 'Errore 500 - Internal Server Error' compare saltuariamente. Vi ringrazio anticipatamente.,Tecnico,media
204,Rettifica informazioni anagrafiche,"Segnalo che il mio numero di telefono nel sistema aziendale non è aggiornato. Non crea problemi operativi ma vorrei correggerlo per uniformità. Non è prioritario, lo segnalo solo per tenere traccia. Rimango in attesa, grazie.",Amministrazione,bassa
205,Contestazione merce ricevuta,"Alcuni articoli dell'ordine #FT-3392 sono arrivati con difetti di lieve entità a GreenTech S.p.A.. Il cliente chiede la sostituzione delle parti difettose. Il rapporto è buono ma conviene rispondere presto. Ho già verificato sul applicativo interno ma le informazioni sono incomplete. Non è trascurabile, programmate un intervento. In attesa di un vostro riscontro.",Commerciale,media
206,Rete aziendale non raggiungibile,"La connessione di rete è caduta completamente e l'intero piano è senza accesso ai servizi aziendali. Non possiamo consultare documenti, inviare email né processare alcuna richiesta. Serve intervento immediato. Urgente: rischiamo gravi conseguenze. Grazie in anticipo per il riscontro.",Tecnico,alta
207,Impossibile connettersi alla VPN,"La VPN funziona ma la connessione è più lenta del solito, soprattutto accedendo a software gestionale. Non è un problema grave perché vado in ufficio quasi tutti i giorni, ma nei giorni di smart working è percepibile. Anche il cliente principale ci ha contattato per un disservizio simile. Ringrazio per la collaborazione.",Tecnico,bassa
208,Cliente lamenta problemi con il nostro servizio,"il cliente principale ci ha contattato per lamentare rallentamenti nell'acesso al portale ordini. Il rapporto è buono ma conviene dare un riscontro per mantenere la fiducia. Confidiamo in una risposta rapida per procedere con l'ordine. Il problama è moderato, riesco a lavorare con qualche disagio. In attesa di un vostro riscontro.",Commerciale,media
209,Fattura bloccata dal sistema,Il piattaforma intranet non permette di registrare il documento #2024-0871.,Tecnico,bassa
210,Rettifica informazioni anagrafiche,Segnalo che il mio numero di telefono nel sistema aziendale non è aggiornato. Non crea problemi operativi ma vorrei correggerlo per uniformità. La questione è legata a obblighi normativi in scadenza. Potete contattarmi al mio interno per approfondire.,Amministrazione,bassa
211,Segnalazione!!!,"Segnalo un problema con il software di contabilità. Rallenta il lavoro in modo significativo, anche se riesco a procedere.",Commerciale,media
212,Nota di credito per reso,"Il cliente ha restituito la merce, serve la nota di credito. È una situazione urgente e bloccante.",Amministrazione,media
213,Pagamento rifiutato dal sistema,"Il bonifico per Rossi S.r.l. è stato rifiutato, IBAN errato nel CRM.",Amministrazione,alta
214,Il piattaforma documentale mostra prezzi errati ai clienti,"Segnalo che un paio di prodotti nel portale HR mostrano un prezzo leggermente diverso dal listino corrente. La differenza è minima e potrebbe essere un ritardo di aggiornamento. Il reparto marketing ha segnalato lo stesso problema. Non è prioritario, lo segnalo solo per tenere traccia. Grazie in anticipo per il riscontro.",Tecnico,bassa
215,Problemi di rete che impediscono il lavoro,"Da qualche giorno noto una leggera lentezza nella connessione di rete, soprattutto accedendo a sistema di ticketing. Non crea veri problemi ma volevo segnalarlo per un controllo preventivo. La situazione sta creando ritardi sugli ordini in lavorazione. Ringrazio per la collaborazione.",Tecnico,bassa
216,Impossibile stampare su Canon iR,"La qualità di stampa della HP LaserJet è peggiorata: le pagine escono con righe orizzontali chiare. Non è prioritario ma per i documenti ufficiali la presentazione non è accettabile. Nessuna premura, è solo una segnalazione. Vi ringrazio anticipatamente.",Tecnico,bassa
217,Errore nel calcolo ferie residue sul portale,Il piattaforma intranet mostra un residuo ferie errato: risultano molti meno giorni di quanti ne abbia effettivamente. Ho una ferie approvata la prossima settimana e temo che venga revocata se il dato non viene corretto. Resto a disposizione per chiarimenti.,Amministrazione,media
218,Fattura #FT-4471 con importo non corretto,"Ho riscontrato una discrepanza nell'importo della fattura #CNT-0033: risulta 430,75 euro invece della cifra concordata. La scadenza non è imminente ma vorrei risolvere con anticipo per evitare complicazioni. lo studio Verdi ha fatto presente la stessa discrepanza. Rallenta il lavoro in modo significativo, anche se riesco a procedere. Se servono dettagli aggiuntivi, sono reperibile via email.",Amministrazione,media
219,Attesa nota di credito per #ORD-1145,La nota di credito relativa alla fattura #2024-1093 doveva essere emessa entro il 4 febbraio ma non è ancora arrivata. Senza di essa non posso chiudere il bilancio trimestrale e la scadenza è domani. La questione è legata a obblighi normativi in scadenza. Cordiali saluti.,Amministrazione,alta
220,Condizioni speciali per ordine volume,"lo studio Verdi condiziona un ordine da 512,30 euro all'applicazione di uno sconto del 15%. La decisione deve arrivare entro 15 del mese prossimo altrimenti il budget verrà dirottato su un concorrente. È critico, siamo in piena emergenza. Resto in attesa di aggiornamenti.",Commerciale,alta
221,Email aziendale non sincronizzata,"La sincronizzazione email su il gestionale avviene con ritardi di diverse ore. I messaggi arrivano sul telefono in tempo reale ma sul client desktop sono in ritardo. Ho provato a disabilitare il firewall senza risultato. Il reparto acquisti ha segnalato lo stesso problema. Per qualsiasi chiarimento, sono disponibile.",Tecnico,bassa
222,Pagamento ordine #2024-1093 bloccato,"Per la registrazione dell'ordine #FT-3392, mancano alcuni dati contabili. Non è prioritario. La questione è legata a obblighi normativi in scadenza. Non è prioritario, quando avete tempo. Per qualsiasi chiarimento, sono disponibile.",Amministrazione,bassa
223,Rimborso spese trasferta del 15 ottobre,"Ho presentato la nota spese per la trasferta del mese scorso con un totale di 89,90 euro e non ho ancora ricevuto il rimborso. Sono passate tre settimane e l'importo è rilevante per il mio bilancio personale. Ho già sollecitato due volte via email. Vi ringrazio anticipatamente.",Amministrazione,alta
224,Anomalia nel cedolino paga di settembre,"Il cedolino di agosto mostra una trattenuta anomala di 430,75 euro che non riconosco. L'importo netto accreditato è significativamente inferiore al dovuto e ho bisogno di chiarimenti immediati perché devo far fronte a pagamenti già programmati. Il problema potrebbe avere impatti sulla operatività del reparto. Urgentissimo, il blocco è totale. Per qualsiasi chiarimento, sono disponibile.",Amministrazione,alta
225,Anomalia nel cedolino paga di maggio,"Ho notato che le ore di straordinario nel cedolino di giugno non corrispondono al foglio presenze. La differenza è di alcune ore. Non è drammatico ma vorrei la correzione prima del prossimo cedolino. Ho verificato anche con il reparto logistica e confermano l'anomalia. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Vi ringrazio anticipatamente.",Amministrazione,media
226,Rimborso spese trasferta del 12 dicembre,Devo ancora presentare la nota spese della trasferta del 3 novembre. L'importo è modesto. Avrei bisogno del modulo aggiornato perché quello che ho sembra obsoleto. In attesa di un vostro riscontro.,Amministrazione,media
227,Prestazioni degradate del computer,"Il PC è diventato molto lento: l'avvio richiede circa 10 minuti e passare da un'applicazione all'altra è frustrante. Riesco a lavorare ma la produttività ne risente parecchio. I colleghi del assistenza clienti confermano lo stesso comportamento. Il problema è fastidioso, chiedo un controllo. grz in anticipo per il riscontro.",Tecnico,media
228,Software contabilità bloccato,"Il software di contabilità non si apre, dà errore Connessione rifiutata. È un dettaglio minore, da gestire quando avete un momento libero.",Tecnico,bassa
229,Modifica dati personali,"SEGNALO CHE IL MIO NUMERO DI TELEFONO NEL SSITEMA AZIENDALE NON È AGGIORNATO. NON CREA PROBLEMI OPERATIVI MA VORREI CORREGGERLO PER UNIFORMITÀ. HO VERIFICATO ANCHE CON IL REPARTO RISORSE UMANE E CONFERMANO L'ANOMALIA. È UNA COSA DI POCO CONTO, DA RISOLVERE CON CALMA.",Amministrazione,bassa
230,Richiesta listino aggiornato per il fornitore Bianchi,l'azienda partner deve chiudere un ordine importante entro fine trimestre ma il listino in suo possesso è datato 22 novembre e i prezzi non sono più validi. Senza il listino aggiornato rischiamo di perdere l'ordine. Resto in attesa di aggiornamenti.,Commerciale,alta
231,Fattura #2024-0654 con importo non corretto,"La fattura #2024-0654 riporta un importo di 1.320,50 euro che non corrisponde a quanto concordato. La scadenza per il pagamento è venerdì e se non correggiamo prima rischiamo di pagare una cifra errata con conseguenze sul bilancio. È un'emergenza operativa.",Amministrazione,alta
232,Il CRM non permette di generare documenti,"Da stamattina il piattaforma documentale non permette di generare alcun documento. L'intero reparto logistica è bloccato, abbiamo decine di pratiche in scadenza oggi e il messaggio di errore è 'Connessione rifiutata'. Ho già provato a svuotare la cache senza alcun risultato. Anche GreenTech S.p.A. ci ha contattato per un disservizio simile. Grazie per l'attenzione.",Tecnico,alta
233,Errore busta paga settembre,"Il cedolino di febbraio mostra una trattenuta anomala di 3.750,00 euro che non riconosco. L'importo netto accreditato è significativamente inferiore al dovuto e ho bisogno di chiarimenti immediati perché devo far fronte a pagamenti già programmati. Ho verificato anche con il reparto contabilità e confermano l'anomalia. Vi ringrazio anticipatamente.",Amministrazione,alta
234,Aggiornamento sulla spedizione #FT-3392,"L'ordine #PED-8821 doveva essere consegnato il fine settembre a il cliente principale, che ha già minacciato di annullare se non riceve la merce entro questa settimana. Il cliente rappresenta una quota significativa del nostro fatturato. È un'emergenza operativa. Grazie in anticipo per il riscontro.",Commerciale,alta
235,il software di contabilità non si avvia dopo l'aggiornamento,"Microsoft Office mostra un messaggio di avviso all'avvio ma funziona normalmente dopo averlo chiuso. È comparso dopo l'ultimo aggiornamento e vorrei sapere se è un comportamento noto. Allego lo screenshot dell'errore per facilitare la diagnosi. Nessuna premura, è una richiesta informativa. Rimango in attesa, grazie!!",Tecnico,bassa
236,Scadenza imminente del contratto #2024-0871,"Segnalo che il contratto #2024-1093 scadrà tra qualche mese. Quando è il momento opportuno, vorrei capire se il rinnovo avverrà alle stesse condizioni o se serve rinegoziare. Cordiali saluti.",Amministrazione,bassa
237,Rimborso spese trasferta del metà marzo,"Allego la nota spese relativa alla trasferta del 4 febbraio per un importo di 1.320,50 euro. Chiedo il rimborso secondo le tempistiche previste dalle procedure aziendali. Un saluto.",Amministrazione,media
238,Accesso negato al CRM: reset fallito,"Mi è arrivato l'avviso che la password del portale aziendale scadrà tra 5 giorni. Ho provato a cambiarla in anticipo ma la procedura dà errore. Non è prioritario ma vorrei risolvere prima della scadenza. Anche MegaStore Italia ci ha contattato per un disservizio simile. Nessuna premura, è solo una segnalazione. Rimango in attesa, grazie.",Tecnico,bassa
239,Reclamo per merce danneggiata da il cliente principale,Rossi S.r.l. ha ricevuto l'ordine #FT-4471 con materiale gravemente danneggiato e chiede sostituzione immediata o rimborso totale. Minacciano di interrompere il rapporto commerciale e rivolgersi alla concorrenza. Il reparto assistenza clienti ha confermato la disponibilità tecnica. Resto a disposizione per chiarimenti!!!,Commerciale,alta
240,Rinnovo contratto #PED-8821,Il contratto #ORD-2287 con GreenTech S.p.A. scade fine trimestre e non è ancora stato avviato il rinnovo. Se il contratto scade perdiamo le condizioni agevolate e il fornitore ha già comunicato che i prezzi aumenteranno. Chiedo gentilmente di essere aggiornato sullo stato della pratica. Priorità critica: ogni minuto perso ha un impatto diretto.,Amministrazione,alta
241,Disponibilità switch di rete per ordine urgente,"Sto raccogliendo informazioni per la pianificazione del prossimo trimestre. Potreste indicarmi le giacenze attuali di switch di rete? Non è un problema grave, solo una segnalazione preventiva.",Commerciale,bassa
242,Modifica dati personali,"Segnalo che il mio numero di telefono nel sistema aziendale non è aggiornato. Non crea problemi operativi ma vorrei correggerlo per uniformità. il cliente principale ha fatto presente la stessa discrepanza. Quando è comodo per voi, non c'è alcuna premura.",Amministrazione,bassa
243,Il portale non calcola correttamente gli importi,"Ho notato un arrotondamento insolito nei calcoli del portale aziendale. La differenza è di pochi centesimi e potrebbe essere normale. Segnalo per un eventuale verifica. Bassa priorità, non crea problemi operativi. In attesa di un vostro riscontro.",Tecnico,bassa
244,Reclamo per merce danneggiata da il distributore regionale,"Rossi S.r.l. ha ricevuto l'ordine #2024-1093 con materiale gravemente danneggiato e chiede sostituzione immediata o rimborso totale. Minacciano di interrompere il rapporto commerciale e rivolgersi alla concorrenza. Stiamo valutando anche offerte alternative sul mercato. Urgente, il lavoro è completamente fermo. Potete contattarmi al mio interno per approfondire.",Commerciale,media
245,Il CRM non permette di generare documenti,"Segnalo che il software gestionale talvolta mostra un avviso durante la generazione dei documenti. Non impedisce il lavoro e il documento viene prodotto regolarmente, ma vorrei capire la causa dell'avviso. Anche MegaStore Italia ci ha contattato per un disservizio simile. Quando è comodo per voi, non c'è alcuna premura. Un saluto.",Tecnico,bassa
246,Compatibilità notebook aziendali con sistema del cliente,l'azienda partner deve decidere entro lunedì prossimo e gli mancano le specifiche tecniche di switch di rete. Hanno provato a consultare il sistema ERP ma le informazioni non sono aggiornate. Se non rispondiamo oggi perdono la finestra di acquisto. Vi ringrazio anticipatamente.,Commerciale,alta
247,RETE AZIENDALE NON RAGGIUNGIBILE,"La connessione di rete è instabile da ieri: funziona a intermittenza e la velocità è molto ridotta. Riesco a lavorare ma con continue interruzioni durante le videochiamate e il caricamento di file. La situazione sta creando ritardi sugli ordini in lavorazione. Rallenta il lavoro in modo significativo, anche se riesco a procedere. Ringrazio per la collaborazione.",Tecnico,media
248,Stato dell'ordine #2025-0112,"L'ordine #2024-0654 doveva essere consegnato il 4 febbraio a il fornitore Bianchi, che ha già minacciato di annullare se non riceve la merce entro fine trimestre. Il cliente rappresenta una quota significativa del nostro fatturato. Grazie in anticipo per il riscontro.",Commerciale,alta
249,Aggiornamento sulla spedizione #FT-3392,"Vorrei un aggiornamento sull'ordine #CNT-0033 effettuato il 15 ottobre. Il cliente ha chiesto informazioni sulla data di consegna e vorrei poter dare una risposta. Riesco a procedere ma con difficoltà, andrebbe risolto a breve. Cordiali saluti.",Commerciale,media
250,Giacenze monitor 27 pollici richieste,"Rossi S.r.l. vuole ordinare notebook aziendali con consegna entro domani per un evento aziendale. Se non confermiamo la disponibilità entro oggi, si rivolgeranno altrove. L'ordine vale oltre 1.320,50 euro. Il reparto vendite ha confermato la disponibilità tecnica. Priorità critica: ogni minuto perso ha un impatto diretto.",Commerciale,alta
251,"Credenziali scadute, impossibile il reset","Mi è arrivato l'avviso che la password del piattaforma intranet scadrà tra 5 giorni. Ho provato a cambiarla in anticipo ma la procedura dà errore. Non è prioritario ma vorrei risolvere prima della scadenza. Non c'è premura, il lavoro procede normalmente.",Tecnico,bassa
252,Errore nel calcolo ferie residue sul portale,Il conteggio delle ferie residue sul sistema ERP non corrisponde ai miei calcoli. La differenza è di qualche giorno. Chiedo una verifica con i dati del foglio presenze. La questione è legata a obblighi normativi in scadenza.,Amministrazione,media
253,Nota di credito #ORD-2287 non ricevuta,"Secondo gli accordi, la nota di credito per #2024-0871 doveva arrivare entro il 3 novembre. Non è ancora pervenuta. Non è critico nell'immediato ma la contabilità la richiede per la riconciliazione. Chiedo gentilmente di essere aggiornato sullo stato della pratica. Il problema è fastidioso, chiedo un controllo.",Amministrazione,media
254,Negoziazione termini di pagamento,"Rossi S.r.l. condiziona un ordine da 512,30 euro alla concessione di pagamento a 90 giorni anziché 30. La decisione serve entro 15 del mese prossimo o perdiamo l'affare. Servono autorizzazione amministrativa e valutazione rischio. Ho già verificato sul applicativo interno ma le informazioni sono incomplete. Urgentissimo, il blocco è totale. Potete contattarmi al mio interno per approfondire.",Commerciale,alta
255,Errore di calcolo nel sistema ERP,"Ho notato un arrotondamento insolito nei calcoli del piattaforma documentale. La differenza è di pochi centesimi e potrebbe essere normale. Segnalo per un eventuale verifica. Anche il distributore regionale ci ha contattato per un disservizio simile. Quando è comodo per voi, non c'è alcuna premura. Cordiali saluti.",Tecnico,media
256,Errore nell'importo della fattura #CNT-0033,"La fattura #PED-8821 riporta un importo di 8.500,00 euro che non corrisponde a quanto concordato. La scadenza per il pagamento è fine mese e se non correggiamo prima rischiamo di pagare una cifra errata con conseguenze sul bilancio. Chiedo gentilmente di essere aggiornato sullo stato della pratica. Se servono dettagli aggiuntivi, sono reperibile via email.",Amministrazione,alta
257,Aggiornamento condizioni commerciali,"Per il mio archivio commerciale, potrei avere la versione aggiornata del listino prezzi di stampanti multifunzione? Non ci sono trattative in corso che lo richiedano. Non è un problema grave, solo una segnalazione preventiva. Grazie in anticipo per il riscontro.",Commerciale,bassa
258,Canon iR non risponde ai comandi,"La qualità di stampa della Canon iR è peggiorata: le pagine escono con righe orizzontali chiare. Non è prioritario ma per i documenti ufficiali la presentazione non è accettabile. Il reparto assistenza clienti ha segnalato lo stesso problema. È un dettaglio minore, da gestire quando avete un momento libero. Un saluto.",Tecnico,bassa
259,Attesa nota di credito per #FT-4471,"Secondo gli accordi, la nota di credito per #FT-4471 doveva arrivare entro il fine ottobre. Non è ancora pervenuta. Non è critico nell'immediato ma la contabilità la richiede per la riconciliazione. MegaStore Italia ha fatto presente la stessa discrepanza.",Amministrazione,media
260,STAMPANTE LA MULTIFUNZIONE DEL PIANO NON FUNZIONANTE,"La qualità di stampa della Brother HL è peggiorata: le pagine escono con righe orizzontali chiare. Non è prioritario ma per i documenti ufficiali la presentazione non è accettabile. Allego lo screenshot dell'errore per facilitare la diagnosi. Non è un problema grave, solo una segnalazione preventiva. Un saluto.",Tecnico,bassa
261,Posta in arrivo non aggiornata,"Ogni tanto qualche email su il software di contabilità arriva con qualche minuto di ritardo rispetto al telefono. Non crea problemi concreti ma volevo segnalarlo per completezza. Il reparto acquisti ha segnalato lo stesso problema. Lo segnalo per completezza, non è nulla di importante. Grazie in anticipo per il riscontro.",Tecnico,bassa
262,fattua #2025-0112 con importo non corretto,"La fatua #CNT-0033 riporta un importo di 245,00 euro che non corrisponde a quanto concordato. La scadenza per il pagamento è domani e se non correggiamo prima rischiamo di pagare una cifra errata con conseguenze sul bilancio. Un saluto.",Amministrazione,alta
